
Host: noto.epfl.ch

Timers On : Mon Sep  6 16:05:48 2021
Timers Off: Mon Sep  6 16:44:39 2021

Wall Time:     2330.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

Host: noto.epfl.ch

Timers On : Mon Sep  6 16:05:53 2021
Timers Off: Mon Sep  6 16:44:39 2021

Wall Time:     2326.55 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JK: D                               :      0.000u      0.000s      0.015w    185 calls
JK: USO2AO                          :      0.000u      0.000s      0.008w    185 calls
JK: JK                              :      7.433u      0.017s      4.335w    185 calls
DFH: compute_JK()                   :      7.433u      0.017s      4.333w    185 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    185 calls
DFH: compute_J                      :      2.100u      0.000s      1.165w    185 calls
DFH: compute_K                      :      5.150u      0.017s      3.063w    185 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    185 calls
HF: Form F                          :      0.000u      0.000s      0.010w    185 calls
HF: DIIS                            :      0.700u      0.083s      1.722w    185 calls
DIISManager::add_entry              :      0.150u      0.000s      1.340w    173 calls
DIISManager::extrapolate            :      0.183u      0.050s      0.150w    173 calls
bMatrix setup                       :      0.067u      0.000s      0.061w    173 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.017w    173 calls
New vector                          :      0.100u      0.033s      0.069w    173 calls
HF: Form C                          :      0.650u      0.200s      0.539w    185 calls
HF: Form D                          :      0.050u      0.000s      0.015w    185 calls
Grad: V T Perturb                   :      0.817u      0.017s      0.504w     13 calls
Grad: S                             :      0.033u      0.000s      0.023w     13 calls
Grad: JK                            :      8.117u      0.317s     12.805w     13 calls
JKGrad: Amn                         :      2.217u      0.083s      1.379w     13 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     13 calls
JKGrad: AB                          :      1.517u      0.117s      0.978w     13 calls
JKGrad: UV                          :      0.183u      0.033s      0.133w     13 calls
JKGrad: ABx                         :      0.217u      0.000s      0.129w     13 calls
JKGrad: Amnx                        :      3.900u      0.050s      2.383w     13 calls
Grad: XC                            :      0.000u      0.000s      0.000w     13 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.250u      0.017s      0.159w     13 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.094w     13 calls
DFH: initialize()                   :      4.050u      0.117s      2.562w     13 calls
| Libint2ERI::Libint2ERI            :      0.083u      0.000s      0.081w     26 calls
| DFH: AO Construction              :      1.233u      0.033s      0.761w     13 calls
| DFH: AO-Met. Contraction          :      1.383u      0.000s      0.836w     13 calls
HF: Form core H                     :      0.100u      0.000s      2.945w     13 calls
HF: Form S/X                        :      0.100u      0.000s      0.057w     13 calls
HF: Guess                           :      0.000u      0.000s      0.007w     13 calls
HF: Form G                          :      7.500u      0.017s      4.403w    185 calls
| JK: D                             :      0.000u      0.000s      0.015w    185 calls
| DFH: sparsity prep                  :      0.367u      0.000s      0.240w     15 calls
JK: USO2AO                        :      0.000u      0.000s      0.008w    185 calls
Libint2ERI::Libint2ERI              :      2.650u      0.017s      1.504w    317 calls
| DFH: initialize()                   :      4.317u      0.217s      2.728w     15 calls
JK: JK                            :      7.433u      0.017s      4.335w    185 calls
DFH: AO Construction                :      1.300u      0.017s      0.796w     15 calls
| | DFH: AO-Met. Contraction            :      1.417u      0.050s      0.899w     15 calls
HF: Form core H                     :      0.533u      0.117s     10.095w     37 calls
DFH: compute_JK()               :      7.433u      0.017s      4.333w    185 calls
HF: Form S/X                        :      0.133u      0.000s      0.101w     37 calls
| | | HF: Guess                           :      0.033u      0.000s      0.024w     37 calls
HF: Form G                          :     36.950u      0.183s     22.329w    576 calls
DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    185 calls
JK: D                               :      0.133u      0.017s      0.056w    576 calls
| | | JK: USO2AO                          :      0.050u      0.000s      0.066w    576 calls
DFH: compute_J                :      2.100u      0.000s      1.165w    185 calls
JK: JK                              :     36.533u      0.167s     22.073w    576 calls
| | | DFH: compute_JK()                   :      7.617u      0.033s      4.473w    207 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.001w    207 calls
DFH: compute_K                :      5.150u      0.017s      3.063w    185 calls
DFH: compute_J                      :      2.083u      0.033s      1.222w    207 calls
| DFH: compute_K                      :      5.350u      0.000s      3.141w    207 calls
JK: J                               :      1.750u      0.083s      1.069w    334 calls
JK: AO2USO                        :      0.000u      0.000s      0.001w    185 calls
JK: J1                              :      0.750u      0.050s      0.509w    668 calls
JK: J2                              :      0.967u      0.033s      0.530w    668 calls
HF: Form F                          :      0.000u      0.000s      0.010w    185 calls
JK: K                               :     26.783u      0.050s     16.325w    334 calls
JK: K1                              :     23.033u      0.033s     13.854w    668 calls
HF: DIIS                            :      0.700u      0.083s      1.722w    185 calls
JK: K2                              :      3.717u      0.017s      2.457w    668 calls
| PK computes JK                      :      0.017u      0.000s      0.005w     35 calls
JK: AO2USO                          :      0.000u      0.000s      0.005w    576 calls
DIISManager::add_entry            :      0.150u      0.000s      1.340w    173 calls
HF: Form F                          :      0.017u      0.000s      0.031w    576 calls
| HF: DIIS                            :      2.050u      0.217s      6.118w    576 calls
DIISManager::add_entry              :      0.433u      0.017s      4.952w    547 calls
DIISManager::extrapolate          :      0.183u      0.050s      0.150w    173 calls
DIISManager::extrapolate            :      0.550u      0.183s      0.460w    547 calls
| | bMatrix setup                       :      0.300u      0.067s      0.188w    547 calls
bMatrix pseudoinverse               :      0.067u      0.000s      0.052w    547 calls
bMatrix setup                   :      0.067u      0.000s      0.061w    173 calls
New vector                          :      0.183u      0.117s      0.211w    547 calls
| | HF: Form C                          :      2.267u      0.350s      1.545w    576 calls
HF: Form D                          :      0.017u      0.017s      0.041w    576 calls
bMatrix pseudoinverse           :      0.000u      0.000s      0.017w    173 calls
Grad: V T Perturb                   :      0.750u      0.000s      0.445w     13 calls
| | Grad: S                             :      0.017u      0.000s      0.022w     13 calls
Grad: JK                            :      8.250u      0.367s     18.098w     13 calls
New vector                      :      0.100u      0.033s      0.069w    173 calls
JKGrad: Amn                         :      2.267u      0.100s      1.407w     13 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     13 calls
HF: Form C                          :      0.650u      0.200s      0.539w    185 calls
JKGrad: AB                          :      1.517u      0.117s      0.988w     13 calls
JKGrad: UV                          :      0.133u      0.067s      0.138w     13 calls
HF: Form D                          :      0.050u      0.000s      0.015w    185 calls
JKGrad: ABx                         :      0.250u      0.000s      0.143w     13 calls
JKGrad: Amnx                        :      4.000u      0.033s      2.471w     13 calls
Grad: V T Perturb                   :      0.817u      0.017s      0.504w     13 calls
Grad: XC                            :      0.000u      0.000s      0.000w     13 calls
JK: (A|mn)                          :      1.400u      0.000s      0.838w     19 calls
Grad: S                             :      0.033u      0.000s      0.023w     13 calls
JK: (A|Q)^-1/2                      :      1.850u      0.033s      1.116w     19 calls
JK: (Q|mn)                          :      1.533u      0.000s      0.950w     19 calls
Grad: JK                            :      8.117u      0.317s     12.805w     13 calls
DF CC Integrals                     :     16.767u      7.983s    107.638w     19 calls
| Form J                              :      2.900u      0.150s     10.327w     38 calls
Form B(Q,munu)                      :      4.367u      0.533s      6.766w     19 calls
JKGrad: Amn                       :      2.217u      0.083s      1.379w     13 calls
Form B(Q,ij)                        :      1.300u      0.450s     21.971w     38 calls
| | Form B(Q,ia)                        :      3.900u      4.667s     42.202w     38 calls
Libint2ERI::Libint2ERI          :      0.333u      0.000s      0.186w     13 calls
Form B(Q,ab)                        :      5.233u      3.650s     36.576w     38 calls
| Trans OEI                           :      0.000u      0.000s      0.010w     19 calls
Fock                                :      0.950u      0.400s     12.725w     10 calls
JKGrad: Awmn                      :      0.000u      0.000s      0.000w     13 calls
MP2                                 :      2.450u      0.100s      9.065w     10 calls
| Build (IA|JB)                       :      2.167u      0.150s      8.384w     39 calls
Build <PQ||RS>                      :      0.600u      0.017s      0.364w     96 calls
JKGrad: AB                        :      1.517u      0.117s      0.978w     13 calls
Build (ia|jb)                       :      2.117u      0.117s      8.261w     39 calls
| | Build (IA|jb)                       :      2.883u      0.417s     16.508w     49 calls
opdm                                :      3.867u      0.183s      8.501w     19 calls
Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.002w     13 calls
T2AA_MP2                            :      1.617u      0.100s      4.671w     20 calls
| T2AB_MP2                            :      2.367u      0.267s     10.538w     30 calls
T2BB_MP2                            :      1.683u      0.067s      5.268w     20 calls
JKGrad: UV                        :      0.183u      0.033s      0.133w     13 calls
tpdm                                :     60.217u      2.267s    108.684w     19 calls
| sep_tpdm                            :      3.700u      3.250s     62.991w     19 calls
JKGrad: ABx                       :      0.217u      0.000s      0.129w     13 calls
GFM VO                              :      2.850u      1.350s     46.696w     19 calls
| | GFM OV                              :      2.733u      1.117s     46.827w     19 calls
GFM OO                              :      1.017u      0.983s     42.011w     19 calls
Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     13 calls
GFM VV                              :      4.700u      1.450s     48.298w     19 calls
| Z-vector                            :     27.000u      7.733s    274.495w     19 calls
Gamma^eff                           :      3.950u      2.667s     87.347w     19 calls
JKGrad: Amnx                      :      3.900u      0.050s      2.383w     13 calls
tpdm_tilde                          :     12.167u      4.383s    109.431w     19 calls
| | back_trans                          :     19.317u      3.700s     86.373w     19 calls
Libint2ERI::Libint2ERI          :      0.217u      0.000s      0.082w     13 calls
DF REF Integrals                    :      5.100u      2.683s     26.309w      9 calls
1st-order T2                        :      2.717u      1.117s     19.889w      9 calls
Grad: XC                            :      0.000u      0.000s      0.000w     13 calls
MP3                                 :     51.567u      3.283s    128.405w      9 calls

**************************************************************************************
WmnijT2                             :      1.800u      0.500s     12.229w     27 calls
WmbejT2                             :     22.417u      1.100s     51.792w     49 calls
WabefT2                             :     23.600u      0.350s     31.810w     27 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.017u      0.000s      0.901w      1 calls
DFMP2 (A|mn)                        :      0.000u      0.000s      0.006w      1 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.000w      2 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.000w      2 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.000w      2 calls
DFMP2 Bia                           :      0.050u      0.000s      0.082w      1 calls
DFMP2 Metric                        :      0.050u      0.000s      0.027w      1 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.002w      2 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.000w      2 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.000w      2 calls
DFMP2 Energy                        :      0.017u      0.000s      0.590w      1 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.000w      6 calls
Total PK formation time             :      0.067u      0.000s      0.037w      3 calls
ccenergy                            :      1.833u      2.117s    232.457w      2 calls
F build                             :      0.133u      0.167s      0.269w     22 calls
Wmbej build                         :      0.183u      0.183s      0.226w     22 calls
C->Wmbej                            :      0.000u      0.000s      0.018w     22 calls
F->Wmbej                            :      0.083u      0.067s      0.087w     22 calls
E->Wmbej                            :      0.000u      0.050s      0.040w     22 calls
X->Wmbej                            :      0.067u      0.067s      0.066w     22 calls
Z                                   :      0.000u      0.017s      0.021w     22 calls
T2 Build                            :      0.200u      0.150s      0.220w     22 calls
BT2                                 :      0.033u      0.050s      0.053w     22 calls
FT2                                 :      0.033u      0.000s      0.024w     22 calls
CT2                                 :      0.033u      0.050s      0.038w     22 calls
cctriples                           :      0.067u      0.067s     10.612w      1 calls
CIWave: CIvect write                :      0.000u      0.000s      0.004w      9 calls
CIWave: CIvect read                 :      0.000u      0.033s      0.004w     41 calls
CIWave: s1                          :      0.000u      0.000s      0.008w   2211 calls
CIWave: s3                          :      0.183u      0.067s      0.137w   2146 calls
CIWave: s3_mt                       :      0.100u      0.033s      0.081w  22352 calls
CIWave: s2                          :      0.017u      0.000s      0.023w    195 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.000s      0.240w     15 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.162w     15 calls
DFH: initialize()                   :      4.317u      0.217s      2.728w     15 calls
| Libint2ERI::Libint2ERI            :      0.150u      0.000s      0.088w     30 calls
| DFH: AO Construction              :      1.300u      0.017s      0.796w     15 calls
| DFH: AO-Met. Contraction          :      1.417u      0.050s      0.899w     15 calls
HF: Form core H                     :      0.533u      0.117s     10.095w     37 calls
HF: Form S/X                        :      0.133u      0.000s      0.101w     37 calls
HF: Guess                           :      0.033u      0.000s      0.024w     37 calls
HF: Form G                          :     36.950u      0.183s     22.329w    576 calls
| JK: D                             :      0.133u      0.017s      0.056w    576 calls
| JK: USO2AO                        :      0.050u      0.000s      0.066w    576 calls
| JK: JK                            :     36.533u      0.167s     22.073w    576 calls
| | DFH: compute_JK()               :      7.617u      0.033s      4.473w    207 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.001w    207 calls
| | | DFH: compute_J                :      2.083u      0.033s      1.222w    207 calls
| | | DFH: compute_K                :      5.350u      0.000s      3.141w    207 calls
| | JK: J                           :      1.750u      0.083s      1.069w    334 calls
| | | JK: J1                        :      0.750u      0.050s      0.509w    668 calls
| | | JK: J2                        :      0.967u      0.033s      0.530w    668 calls
| | JK: K                           :     26.783u      0.050s     16.325w    334 calls
| | | JK: K1                        :     23.033u      0.033s     13.854w    668 calls
| | | JK: K2                        :      3.717u      0.017s      2.457w    668 calls
| | PK computes JK                  :      0.017u      0.000s      0.005w     35 calls
| JK: AO2USO                        :      0.000u      0.000s      0.005w    576 calls
HF: Form F                          :      0.017u      0.000s      0.031w    576 calls
HF: DIIS                            :      2.050u      0.217s      6.118w    576 calls
| DIISManager::add_entry            :      0.433u      0.017s      4.952w    547 calls
| DIISManager::extrapolate          :      0.550u      0.183s      0.460w    547 calls
| | bMatrix setup                   :      0.300u      0.067s      0.188w    547 calls
| | bMatrix pseudoinverse           :      0.067u      0.000s      0.052w    547 calls
| | New vector                      :      0.183u      0.117s      0.211w    547 calls
HF: Form C                          :      2.267u      0.350s      1.545w    576 calls
HF: Form D                          :      0.017u      0.017s      0.041w    576 calls
Grad: V T Perturb                   :      0.750u      0.000s      0.445w     13 calls
Grad: S                             :      0.017u      0.000s      0.022w     13 calls
Grad: JK                            :      8.250u      0.367s     18.098w     13 calls
| JKGrad: Amn                       :      2.267u      0.100s      1.407w     13 calls
| | Libint2ERI::Libint2ERI          :      0.350u      0.000s      0.180w     13 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     13 calls
| JKGrad: AB                        :      1.517u      0.117s      0.988w     13 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     13 calls
| JKGrad: UV                        :      0.133u      0.067s      0.138w     13 calls
| JKGrad: ABx                       :      0.250u      0.000s      0.143w     13 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w     13 calls
| JKGrad: Amnx                      :      4.000u      0.033s      2.471w     13 calls
| | Libint2ERI::Libint2ERI          :      0.150u      0.000s      0.086w     13 calls
Grad: XC                            :      0.000u      0.000s      0.000w     13 calls
Libint2ERI::Libint2ERI              :      0.917u      0.017s      0.517w    117 calls
JK: (A|mn)                          :      1.400u      0.000s      0.838w     19 calls
JK: (A|Q)^-1/2                      :      1.850u      0.033s      1.116w     19 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.002w     19 calls
JK: (Q|mn)                          :      1.533u      0.000s      0.950w     19 calls
DF CC Integrals                     :     16.767u      7.983s    107.638w     19 calls
| Form J                            :      1.933u      0.083s      8.013w     29 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.005w     29 calls
| Form B(Q,munu)                    :      4.367u      0.533s      6.766w     19 calls
| | Libint2ERI::Libint2ERI          :      0.317u      0.000s      0.182w     19 calls
| Form B(Q,ij)                      :      0.933u      0.383s     18.758w     29 calls
| Form B(Q,ia)                      :      2.900u      3.483s     33.697w     29 calls
| Form B(Q,ab)                      :      4.167u      2.767s     29.933w     29 calls
| Trans OEI                         :      0.000u      0.000s      0.010w     19 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.146w     10 calls
Fock                                :      0.950u      0.400s     12.725w     10 calls
MP2                                 :      2.450u      0.100s      9.065w     10 calls
| Build (IA|JB)                     :      0.583u      0.017s      2.248w     10 calls
| Build <PQ||RS>                    :      0.117u      0.000s      0.073w     20 calls
| Build (ia|jb)                     :      0.500u      0.017s      1.777w     10 calls
| Build (IA|jb)                     :      0.583u      0.067s      4.592w     10 calls
opdm                                :      3.867u      0.183s      8.501w     19 calls
| T2AA_MP2                          :      0.783u      0.050s      1.930w     10 calls
| | Build (IA|JB)                   :      0.533u      0.050s      1.754w     10 calls
| | Build <PQ||RS>                  :      0.067u      0.000s      0.037w     10 calls
| T2AB_MP2                          :      0.767u      0.100s      3.111w     10 calls
| | Build (IA|jb)                   :      0.583u      0.100s      3.012w     10 calls
| T2BB_MP2                          :      0.800u      0.033s      2.589w     10 calls
| | Build (ia|jb)                   :      0.567u      0.033s      2.438w     10 calls
| | Build <PQ||RS>                  :      0.100u      0.000s      0.038w     10 calls
tpdm                                :     60.217u      2.267s    108.684w     19 calls
| T2AA_MP2                          :      0.833u      0.050s      2.741w     10 calls
| | Build (IA|JB)                   :      0.567u      0.050s      2.587w     10 calls
| | Build <PQ||RS>                  :      0.100u      0.000s      0.038w     10 calls
| T2AB_MP2                          :      1.600u      0.167s      7.427w     20 calls
| | Build (IA|jb)                   :      1.133u      0.167s      7.203w     20 calls
| T2BB_MP2                          :      0.883u      0.033s      2.678w     10 calls
| | Build (ia|jb)                   :      0.567u      0.033s      2.508w     10 calls
| | Build <PQ||RS>                  :      0.067u      0.000s      0.038w     10 calls
sep_tpdm                            :      3.700u      3.250s     62.991w     19 calls
GFM VO                              :      2.850u      1.350s     46.696w     19 calls
GFM OV                              :      2.733u      1.117s     46.827w     19 calls
GFM OO                              :      1.017u      0.983s     42.011w     19 calls
GFM VV                              :      4.700u      1.450s     48.298w     19 calls
Z-vector                            :     27.000u      7.733s    274.495w     19 calls
Gamma^eff                           :      3.950u      2.667s     87.347w     19 calls
tpdm_tilde                          :     12.167u      4.383s    109.431w     19 calls
back_trans                          :     19.317u      3.700s     86.373w     19 calls
DF REF Integrals                    :      5.100u      2.683s     26.309w      9 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.119w      9 calls
| Form J                            :      0.967u      0.067s      2.314w      9 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w      9 calls
| Form B(Q,ij)                      :      0.367u      0.067s      3.213w      9 calls
| Form B(Q,ia)                      :      1.000u      1.183s      8.505w      9 calls
| Form B(Q,ab)                      :      1.067u      0.883s      6.642w      9 calls
1st-order T2                        :      2.717u      1.117s     19.889w      9 calls
| Build (IA|JB)                     :      0.483u      0.033s      1.794w      9 calls
| Build <PQ||RS>                    :      0.017u      0.000s      0.071w     18 calls
| Build (ia|jb)                     :      0.483u      0.033s      1.539w      9 calls
| Build (IA|jb)                     :      0.583u      0.083s      1.701w      9 calls
MP3                                 :     51.567u      3.283s    128.405w      9 calls
| WmnijT2                           :      1.800u      0.500s     12.229w     27 calls
| WmbejT2                           :     22.333u      1.050s     51.732w     27 calls
| WabefT2                           :     23.600u      0.350s     31.810w     27 calls
| Build <PQ||RS>                    :      0.133u      0.017s      0.068w     18 calls
DFMP2 Singles                       :      0.000u      0.000s      0.000w      1 calls
DFMP2 Aia                           :      0.017u      0.000s      0.901w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w      1 calls
| DFMP2 (A|mn)                      :      0.000u      0.000s      0.006w      1 calls
| DFMP2 (A|mn)C_mi                  :      0.000u      0.000s      0.000w      2 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.000w      2 calls
DFMP2 Bia                           :      0.050u      0.000s      0.082w      1 calls
| DFMP2 Metric                      :      0.050u      0.000s      0.027w      1 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      1 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.002w      2 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.000w      2 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.000w      2 calls
DFMP2 Energy                        :      0.017u      0.000s      0.590w      1 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.000w      6 calls
Total PK formation time             :      0.067u      0.000s      0.037w      3 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.009w      6 calls
ccenergy                            :      1.833u      2.117s    232.457w      2 calls
| F build                           :      0.133u      0.167s      0.269w     22 calls
| Wmbej build                       :      0.183u      0.183s      0.226w     22 calls
| | C->Wmbej                        :      0.000u      0.000s      0.018w     22 calls
| | F->Wmbej                        :      0.083u      0.067s      0.087w     22 calls
| | E->Wmbej                        :      0.000u      0.050s      0.040w     22 calls
| | X->Wmbej                        :      0.067u      0.067s      0.066w     22 calls
| Z                                 :      0.000u      0.017s      0.021w     22 calls
| T2 Build                          :      0.200u      0.150s      0.220w     22 calls
| | BT2                             :      0.033u      0.050s      0.053w     22 calls
| | FT2                             :      0.033u      0.000s      0.024w     22 calls
| | WmbejT2                         :      0.083u      0.050s      0.060w     22 calls
| | CT2                             :      0.033u      0.050s      0.038w     22 calls
cctriples                           :      0.067u      0.067s     10.612w      1 calls
CIWave: CIvect write                :      0.000u      0.000s      0.004w      9 calls
CIWave: CIvect read                 :      0.000u      0.033s      0.004w     41 calls
CIWave: s1                          :      0.000u      0.000s      0.008w   2211 calls
CIWave: s3                          :      0.183u      0.067s      0.137w   2146 calls
| CIWave: s3_mt                     :      0.100u      0.033s      0.081w  22352 calls
CIWave: s2                          :      0.017u      0.000s      0.023w    195 calls

**************************************************************************************
